id,symbol,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,created_at,updated_at,reportedCurrency,totalRevenue,costOfRevenue,operatingIncome,grossProfit,operatingCashflow,netIncome
189,FB,2019-03-31,2019-04-24,1.89,1.5988,0.2912,18.2137,2021-11-30 11:18:02 UTC,2021-11-30 11:18:05 UTC,USD,15077000000,2816000000,3317000000,12261000000,9308000000,2429000000
77,AAPL,2019-03-31,2019-04-30,0.62,0.59,0.03,5.0847,2021-11-30 10:43:17 UTC,2021-11-30 10:43:20 UTC,USD,57005000000,40652000000,13415000000,21821000000,11155000000,11561000000
31,TSLA,2019-03-31,2019-04-24,-0.58,-0.1873,-0.3927,-209.6636,2021-11-30 10:42:34 UTC,2021-11-30 10:42:36 UTC,USD,4541000000,3975000000,-522000000,566000000,-640000000,-702000000
11,GOOG,2019-03-31,,,,,,2021-11-30 10:29:40 UTC,2021-11-30 10:29:40 UTC,USD,36339000000,16012000000,6608000000,20327000000,,6657000000
327,LOW,2019-02-01,,,,,,2021-11-30 11:22:52 UTC,2021-11-30 11:22:54 UTC,USD,15500000000,952000000,-568000000,4899000000,-605000000,-824000000
344,LOW,2019-01-31,2019-02-27,0.8,0.7892,0.0108,1.3685,2021-11-30 11:22:56 UTC,2021-11-30 11:22:56 UTC,,,,,,,
448,FANG,2018-12-31,2019-02-19,1.21,1.6092,-0.3992,-24.8074,2021-11-30 11:24:27 UTC,2021-11-30 11:24:29 UTC,USD,633000000,20540000,195000000,631759000,412000000,307000000
229,AMZN,2018-12-31,2019-01-31,6.04,5.5141,0.5259,9.5374,2021-11-30 11:21:02 UTC,2021-11-30 11:21:04 UTC,USD,72383000000,59490000000,3786000000,72383000000,16477000000,3027000000
190,FB,2018-12-31,2019-01-30,2.38,2.1766,0.2034,9.3448,2021-11-30 11:18:02 UTC,2021-11-30 11:18:05 UTC,USD,16692000000,2796000000,7820000000,13896000000,7618000000,6882000000
78,AAPL,2018-12-31,2019-01-29,1.05,1.04,0.01,0.9615,2021-11-30 10:43:17 UTC,2021-11-30 10:43:20 UTC,USD,83420000000,57062000000,23346000000,32031000000,26690000000,19965000000
32,TSLA,2018-12-31,2019-01-30,0.386,0.4035,-0.0175,-4.3371,2021-11-30 10:42:34 UTC,2021-11-30 10:42:36 UTC,USD,7226000000,5783000000,414000000,1443000000,1235000000,140000000
12,GOOG,2018-12-31,,,,,,2021-11-30 10:29:40 UTC,2021-11-30 10:29:40 UTC,USD,39276000000,17918000000,8221000000,21358000000,,8948000000
328,LOW,2018-11-02,,,,,,2021-11-30 11:22:52 UTC,2021-11-30 11:22:54 UTC,USD,17268000000,16570000000,957000000,5377000000,1011000000,629000000
345,LOW,2018-10-31,2018-11-20,1.04,0.9779,0.0621,6.3503,2021-11-30 11:22:56 UTC,2021-11-30 11:22:56 UTC,,,,,,,
449,FANG,2018-09-30,2018-11-06,1.67,1.7206,-0.0506,-2.9408,2021-11-30 11:24:27 UTC,2021-11-30 11:24:29 UTC,USD,537000000,14572000,268000000,438983000,-336211000,157000000
230,AMZN,2018-09-30,2018-10-25,5.75,3.0878,2.6622,86.2167,2021-11-30 11:21:02 UTC,2021-11-30 11:21:04 UTC,USD,56218000000,37347000000,3724000000,18871000000,8588000000,2883000000
191,FB,2018-09-30,2018-10-30,1.76,1.4444,0.3156,21.8499,2021-11-30 11:18:02 UTC,2021-11-30 11:18:05 UTC,USD,13727000000,2418000000,5781000000,11309000000,7498000000,5137000000
79,AAPL,2018-09-30,2018-11-01,0.73,0.7,0.03,4.2857,2021-11-30 10:43:17 UTC,2021-11-30 10:43:20 UTC,USD,62900000000,38816000000,16118000000,24084000000,19523000000,14125000000
33,TSLA,2018-09-30,2018-10-24,0.58,-0.0181,0.5981,3304.4199,2021-11-30 10:42:34 UTC,2021-11-30 10:42:36 UTC,USD,6824000000,5300000000,416000000,1524000000,1391040000,311000000
13,GOOG,2018-09-30,,,,,,2021-11-30 10:29:40 UTC,2021-11-30 10:29:40 UTC,USD,33740000000,14281000000,8625000000,19459000000,,9192000000
329,LOW,2018-08-03,,,,,,2021-11-30 11:22:52 UTC,2021-11-30 11:22:54 UTC,USD,20741000000,18725000000,2163000000,6885000000,2358000000,1520000000
346,LOW,2018-07-31,2018-08-22,2.07,2.0206,0.0494,2.4448,2021-11-30 11:22:56 UTC,2021-11-30 11:22:56 UTC,,,,,,,
450,FANG,2018-06-30,2018-08-08,1.59,1.6368,-0.0468,-2.8592,2021-11-30 11:24:27 UTC,2021-11-30 11:24:29 UTC,USD,527000000,14894000,281000000,410297000,431031000,219000000
231,AMZN,2018-06-30,2018-07-26,5.07,2.5434,2.5266,99.3395,2021-11-30 11:21:02 UTC,2021-11-30 11:21:04 UTC,USD,52543000000,34644000000,2983000000,17899000000,7449000000,2534000000
192,FB,2018-06-30,2018-07-25,1.74,1.6965,0.0435,2.5641,2021-11-30 11:18:02 UTC,2021-11-30 11:18:05 UTC,USD,13231000000,2214000000,5863000000,11017000000,6298000000,5106000000
80,AAPL,2018-06-30,2018-07-31,0.585,0.545,0.04,7.3394,2021-11-30 10:43:17 UTC,2021-11-30 10:43:20 UTC,USD,53265000000,32844000000,12612000000,20421000000,14488000000,11519000000
34,TSLA,2018-06-30,2018-08-01,-0.612,-0.5639,-0.0481,-8.5299,2021-11-30 10:42:34 UTC,2021-11-30 10:42:36 UTC,USD,4002000000,3383301000,-621392000,619000000,-129664000,-718000000
14,GOOG,2018-06-30,,,,,,2021-11-30 10:29:40 UTC,2021-11-30 10:29:40 UTC,USD,32657000000,13883000000,3045000000,18774000000,,3195000000
330,LOW,2018-05-04,,,,,,2021-11-30 11:22:52 UTC,2021-11-30 11:22:54 UTC,USD,17212000000,15895000000,1465000000,5748000000,3429000000,988000000
347,LOW,2018-04-30,2018-05-23,1.19,1.2121,-0.0221,-1.8233,2021-11-30 11:22:56 UTC,2021-11-30 11:22:56 UTC,,,,,,,
451,FANG,2018-03-31,2018-05-08,1.64,1.5866,0.0534,3.3657,2021-11-30 11:24:27 UTC,2021-11-30 11:24:29 UTC,USD,479000000,69499000,267000000,347337000,633447000,163000000
232,AMZN,2018-03-31,2018-04-26,3.27,1.2178,2.0522,168.517,2021-11-30 11:21:02 UTC,2021-11-30 11:21:04 UTC,USD,50712000000,34501000000,1927000000,16211000000,-1791000000,1629000000
193,FB,2018-03-31,2018-04-25,1.69,1.3448,0.3452,25.6692,2021-11-30 11:18:02 UTC,2021-11-30 11:18:05 UTC,USD,11966000000,1927000000,5449000000,10039000000,7860000000,4988000000
81,AAPL,2018-03-31,2018-05-01,0.6825,0.6725,0.01,1.487,2021-11-30 10:43:17 UTC,2021-11-30 10:43:20 UTC,USD,61137000000,37715000000,15894000000,23422000000,15130000000,13822000000
35,TSLA,2018-03-31,2018-05-02,-0.67,-0.7051,0.0351,4.978,2021-11-30 10:42:34 UTC,2021-11-30 10:42:36 UTC,USD,3409000000,2952225000,-596974000,456000000,-398376000,-709000000
15,GOOG,2018-03-31,,,,,,2021-11-30 10:29:40 UTC,2021-11-30 10:29:40 UTC,USD,31146000000,13467000000,7633000000,17679000000,,9401000000
331,LOW,2018-02-02,,,,,,2021-11-30 11:22:52 UTC,2021-11-30 11:22:54 UTC,USD,15347000000,14396000000,1098000000,4251000000,-307000000,554000000
348,LOW,2018-01-31,2018-02-28,0.74,0.8747,-0.1347,-15.3996,2021-11-30 11:22:56 UTC,2021-11-30 11:22:56 UTC,,,,,,,
452,FANG,2017-12-31,2018-02-13,1.56,1.5214,0.0386,2.5371,2021-11-30 11:24:27 UTC,2021-11-30 11:24:29 UTC,USD,396972000,56923000,213663000,399194000,-512556000,114559000
233,AMZN,2017-12-31,2018-02-01,2.1512,1.8317,0.3195,17.4428,2021-11-30 11:21:02 UTC,2021-11-30 11:21:04 UTC,USD,60453000000,43345000000,2127000000,60453000000,12358000000,1856000000
194,FB,2017-12-31,2018-01-31,2.21,1.968,0.242,12.2967,2021-11-30 11:18:02 UTC,2021-11-30 11:18:05 UTC,USD,12972000000,1611000000,7352000000,11361000000,7671000000,4269000000
82,AAPL,2017-12-31,2018-02-01,0.9725,0.965,0.0075,0.7772,2021-11-30 10:43:17 UTC,2021-11-30 10:43:20 UTC,USD,88293000000,54381000000,26274000000,33912000000,28293000000,20065000000
36,TSLA,2017-12-31,2018-02-07,-0.608,-0.6297,0.0217,3.4461,2021-11-30 10:42:34 UTC,2021-11-30 10:42:36 UTC,USD,3288249000,2849199000,-598055000,438786000,509545000,-675350000
16,GOOG,2017-12-31,,,,,,2021-11-30 10:29:40 UTC,2021-11-30 10:29:40 UTC,USD,32323000000,14267000000,7696000000,18056000000,,-3020000000
332,LOW,2017-11-03,,,,,,2021-11-30 11:22:52 UTC,2021-11-30 11:22:54 UTC,USD,16622000000,15223000000,1547000000,5713000000,298000000,872000000
